elapsed_ms,raw_counts,filtered_counts,runtime_zero_counts,delta_counts,torque_nm,cadence_rpm,power_watts,ble_power_watts,ble_cadence_rpm,revolutions,corrected_gyro_dps,forward_velocity_dps,crank_angle_degrees,esp_temperature_c,ble_connected
16,-1429356,-1429311,-1429460,149,-0.40,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
220,-1429321,-1429335,-1429460,125,-0.26,0.00,0,0,0.00,4,0.0,0.0,0.00,34.1,1
431,-1428948,-1428956,-1429460,504,-1.06,0.00,0,0,0.00,4,-0.1,0.1,0.00,34.1,1
635,-1429465,-1429383,-1429460,77,-0.31,0.00,0,0,0.00,4,-0.2,0.2,0.00,34.1,1
839,-1429557,-1429557,-1429460,-97,0.20,0.00,0,0,0.00,4,0.2,-0.2,0.00,34.1,1
1043,-1429008,-1429062,-1429460,398,-0.84,0.00,0,0,0.00,4,0.2,-0.2,0.00,34.1,1
1247,-1429471,-1429401,-1429460,59,-0.25,0.00,0,0,0.00,4,-0.1,0.1,0.00,34.1,1
1457,-1429423,-1429437,-1429460,23,-0.05,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
1661,-1429065,-1429093,-1429460,367,-0.78,0.00,0,0,0.00,4,0.2,-0.2,0.00,34.1,1
1865,-1429113,-1429098,-1429460,362,-0.80,0.00,0,0,0.00,4,0.0,0.0,0.00,34.1,1
2069,-1429483,-1429466,-1429460,-6,-0.02,0.00,0,0,0.00,4,-0.1,0.1,0.00,34.1,1
2273,-1428948,-1429017,-1429460,443,-0.93,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
2483,-1429461,-1429404,-1429460,56,-0.22,0.00,0,0,0.00,4,0.2,-0.2,0.00,34.1,1
2687,-1429540,-1429530,-1429460,-70,0.13,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
2891,-1429544,-1429538,-1429460,-78,0.17,0.00,0,0,0.00,4,-0.2,0.2,0.00,34.1,1
3095,-1429533,-1429535,-1429460,-75,0.16,0.00,0,0,0.00,4,0.0,0.0,0.00,34.1,1
3300,-1429480,-1429500,-1429460,-40,0.12,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
3510,-1428783,-1428840,-1429460,620,-1.30,0.00,0,0,0.00,4,-0.2,0.2,0.00,34.1,1
3714,-1429070,-1429061,-1429460,399,-0.88,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
3918,-1429133,-1429118,-1429460,342,-0.76,0.00,0,0,0.00,4,0.0,0.0,0.00,34.1,1
4122,-1429538,-1429505,-1429460,-45,0.08,0.00,0,0,0.00,4,-0.1,0.1,0.00,34.1,1
4326,-1429503,-1429509,-1429460,-49,0.11,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
4562,-1428966,-1429033,-1429460,427,-0.79,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
4766,-1429021,-1428991,-1429460,469,-1.02,0.00,0,0,0.00,4,-0.1,0.1,0.00,34.1,1
4970,-1429328,-1429323,-1429460,137,-0.31,0.00,0,0,0.00,4,0.0,0.0,0.00,34.1,1
5174,-1429373,-1429339,-1429460,121,-0.32,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
5386,-1429498,-1429484,-1429460,-24,0.05,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
5597,-1428905,-1428968,-1429460,492,-0.94,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
5802,-1428996,-1428977,-1429460,483,-1.07,0.00,0,0,0.00,4,0.1,-0.1,0.00,34.1,1
6006,-1428822,-1428852,-1429460,608,-1.30,0.00,0,0,0.00,4,0.0,0.0,0.00,34.1,1
6210,-1429494,-1429440,-1429460,20,-0.17,0.00,0,0,0.00,4,-0.2,0.2,0.00,34.1,1
